"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="1835788368521601667",="2023030422001148781455954160","支付方式：支付宝，支付单号：2023030422001148781455954160，金额：393.00；","381.00","12.00","0","393.00","0","393.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 20:22:17","2023-03-04 20:26:46","Nike Air Force 1 low AF1 米黄绿 系带 低帮 潮流板鞋DQ5085-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT2297867283356","圆通速递","'C 353 天高【扬扬 03-06 01:15】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:36:56",="C 353 天高【扬扬 03-06 01:15】",=""
="1836557330346667184",="2023030422001163151431934933","支付方式：支付宝，支付单号：2023030422001163151431934933，金额：662.00；","650.00","12.00","0","662.00","0","662.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 20:20:52","2023-03-04 20:20:56","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1150186234271","顺丰速运","'C 612 SyF173199510【扬扬 03-06 01:14】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:28:18",="C 612 SyF173199510【扬扬 03-06 01:14】",=""
="3237143322035911748",="2023030422001175571410920074","支付方式：支付宝，支付单号：2023030422001175571410920074，金额：492.00；","480.00","12.00","0","492.00","0","492.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 20:14:02","2023-03-04 20:14:07","Nike耐克 Dunk Low 防滑耐磨 时尚运动休闲板鞋 浅蓝色DD1503-123","1","No:SF1436513327314","顺丰速运","'p 478顺 LY【木木 03-06 22:24】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 02:01:23",="p 478顺 LY【木木 03-06 22:24】",=""
="3237030829702326014",="2023030422001112631409445312","支付方式：支付宝，支付单号：2023030422001112631409445312，金额：472.00；","460.00","12.00","0","472.00","0","472.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 20:13:37","2023-03-04 20:16:00","Nike耐克 Dunk Low 防滑耐磨 时尚运动休闲板鞋 浅蓝色DD1503-123","1","No:773209946543126","申通快递","'C 470 迈诺体育 阿坤【扬扬 03-06 01:22】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:23:37",="C 470 迈诺体育 阿坤【扬扬 03-06 01:22】",=""
="1836531266365738895",="2023030422001123801402696263","支付方式：支付宝，支付单号：2023030422001123801402696263，金额：563.00；","551.00","12.00","0","563.00","0","563.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 20:13:20","2023-03-04 20:18:15","Nike Kyrie 8 欧文8代 男女耐磨 中帮缓震 实战篮球鞋 DC9134-102，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1509924884219","顺丰速运","'C 520 Maggie Q【扬扬 03-06 01:20】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 20:24:41",="C 520 Maggie Q【扬扬 03-06 01:20】",=""
="1836517730730044677",="2023030422001171551427653977","支付方式：支付宝，支付单号：2023030422001171551427653977，金额：0.00；","1314.00","12.00","0","1326.00","0","0.00","0","交易关闭","null","快递","2023-03-04 20:10:33","2023-03-04 20:10:47","Nike 耐克 Dunk Low 轻便防滑 经典运动休闲板鞋 棕黄 DX6038-741，Nike 耐克 Dunk Low 轻便防滑 经典运动休闲板鞋 棕黄 DX6038-741，买家秀征集赢奖励！！！ ~ 收货联系客服","3","","null","'null","3","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","1326.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3236948273075420255",="2023030422001192321418612686","支付方式：支付宝，支付单号：2023030422001192321418612686，金额：0.00；","461.00","12.00","0","473.00","0","0.00","0","交易关闭","null","快递","2023-03-04 20:07:35","2023-03-04 20:27:03","Nike耐克 Dunk Low 防滑耐磨 时尚运动休闲板鞋 浅蓝色DD1503-123","1","","null","'null","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","473.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3236247784404624223",="2023030422001190531439363277","支付方式：支付宝，支付单号：2023030422001190531439363277，金额：212.00；","200.00","12.00","0","212.00","0","212.00","0","买家已付款，等待卖家发货","null","快递","2023-03-04 20:07:07","2023-03-04 20:07:47","Nike耐克 Waffle One 轻质 运动休闲 低帮舒适 跑步鞋 DJ9640-200，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3236765501900477249",="2023030422001156261437031681","支付方式：支付宝，支付单号：2023030422001156261437031681，金额：372.00；","360.00","12.00","0","372.00","0","372.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:52:16","2023-03-04 19:54:42","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT2297683142466","圆通速递","'p 355  浩【木木 03-06 01:06】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 00:07:45",="p 355  浩【木木 03-06 01:06】",=""
="3236823102743435832",="2023030422001129771454213999","支付方式：支付宝，支付单号：2023030422001129771454213999，金额：813.00；","801.00","12.00","0","813.00","0","813.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:47:33","2023-03-04 19:47:44","Nike耐克 Air Max 97 子弹头 低帮潮流休闲气垫运动鞋 921826-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:312201272002557","韵达快递","'C 755 小李默认3.5普包，顺+5【扬扬 03-06 01:14】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:49:23",="C 755 小李默认3.5普包，顺+5【扬扬 03-06 01:14】",=""
="1836424634100305287",="2023030422001110951421663458","支付方式：支付宝，支付单号：2023030422001110951421663458，金额：782.00；","770.00","12.00","0","782.00","0","782.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:43:42","2023-03-04 19:45:20","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1159908261796","顺丰速运","'p 730  Jee要努力","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:28:14",="p 730  Jee要努力",=""
="3236807954278172013",="2023030422001155911409742780","支付方式：支付宝，支付单号：2023030422001155911409742780，金额：0.00；","310.00","12.00","0","322.00","0","0.00","0","交易关闭","null","快递","2023-03-04 19:36:41","2023-03-04 19:36:47","Nike Dunk High 耐磨减震舒适防滑 高帮休闲潮流运动鞋DD1398-300，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","322.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1836373838503290267",="2023030422001169241455314587","支付方式：支付宝，支付单号：2023030422001169241455314587，金额：233.00；","221.00","12.00","0","233.00","0","233.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:31:50","2023-03-04 19:32:03","NIKE耐克 男女 Blazer Mid 77 高帮大钩子 休闲款板鞋 CI1176-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1505740805830","顺丰速运","'p 200  JISEN【木木 03-06 01:06】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 22:33:11",="p 200  JISEN【木木 03-06 01:06】",=""
="3235950424389834649",="2023030422001127161459188757","支付方式：支付宝，支付单号：2023030422001127161459188757，金额：12.00；","12.00","0.00","0","12.00","0","12.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:21:29","2023-03-04 19:21:34","邮费链接","1","No:SF1158485507623","顺丰速运","'p 625顺 傲骨方块【木木 03-06 01:08】","12","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:11:06",="p 625顺 傲骨方块【木木 03-06 01:08】",=""
="3235941532024834649",="2023030422001127161458843349","支付方式：支付宝，支付单号：2023030422001127161458843349，金额：673.00；","661.00","12.00","0","673.00","0","673.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:19:41","2023-03-04 19:20:31","Nike/耐克 Zoom Rival S9 短跑训练专业田径运动跑步鞋DM2328-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1158485507623","顺丰速运","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:11:06",="null",=""
="3236811726851451222",="2023030422001199151427573836","支付方式：支付宝，支付单号：2023030422001199151427573836，金额：632.00；","620.00","12.00","0","632.00","0","632.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 19:16:34","2023-03-04 19:18:05","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1506320517431","顺丰速运","'p 565  HtcZz1【木木 03-06 01:12】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:04:00",="p 565  HtcZz1【木木 03-06 01:12】",=""
="3236666869394652600",="2023030422001182121409442101","支付方式：支付宝，支付单号：2023030422001182121409442101，金额：0.00；","770.00","12.00","0","782.00","0","0.00","0","交易关闭","null","快递","2023-03-04 19:01:51","2023-03-04 19:01:57","Air Jordan 1 Low AJ1 白绿 低帮 休闲复时尚古篮球鞋 DC0774-132，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 736  请叫我鞋长","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","782.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 736  请叫我鞋长",=""
="3236612681866797353",="2023030422001160671419498701","支付方式：支付宝，支付单号：2023030422001160671419498701，金额：562.00；","550.00","12.00","0","562.00","0","562.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 18:53:40","2023-03-04 18:53:45","Nike Air Zoom Pegasus 39 低帮耐磨 轻便跑步鞋 白灰 DH4071-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1602668547237","顺丰速运","'p 516顺  左右【木木 03-06 01:04】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 19:17:35",="p 516顺  左右【木木 03-06 01:04】",=""
="3235889880139695415",="2023030422001189581447158367","支付方式：支付宝，支付单号：2023030422001189581447158367，金额：282.00；","270.00","12.00","0","282.00","0","282.00","0","买家已付款，等待卖家发货","null","快递","2023-03-04 18:47:31","2023-03-04 18:47:49","NIKE耐克 Zoom 2K 低帮复古 时尚运动 休闲系带老爹鞋 AO0354-107，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'J 264 black","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="J 264 black",=""
="1835521068144236365",="2023030422001177981455898444","支付方式：支付宝，支付单号：2023030422001177981455898444，金额：652.00；","640.00","12.00","0","652.00","0","652.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 18:31:49","2023-03-04 18:49:09","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:SF1120348544317","顺丰速运","'p 620顺  斌狗嗷【木木 03-06 22:39】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 02:14:40",="p 620顺  斌狗嗷【木木 03-06 22:39】",=""
="1836304970945019665",="2023030422001145221456226413","支付方式：支付宝，支付单号：2023030422001145221456226413，金额：362.00；","350.00","12.00","0","362.00","0","362.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 18:24:46","2023-03-04 18:24:52","AIR JORDAN COURTSIDE 23 乔丹 潮流运动篮球鞋 湖水绿AR1002-003，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1159816334813","顺丰速运","'p 410  比比【木木 03-06 01:00】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 18:40:12",="p 410  比比【木木 03-06 01:00】",=""
="3235764312722587917",="2023030422001107761456151174","支付方式：支付宝，支付单号：2023030422001107761456151174，金额：792.00；","780.00","12.00","0","792.00","0","792.00","0","交易成功","null","快递","2023-03-04 18:04:26","2023-03-04 18:04:45","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1143768216415","顺丰速运","'p 670  Nomad","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 23:04:23","792.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 18:47:36",="p 670  Nomad",=""
="3236859327192629021",="2023030422001185741450857732","支付方式：支付宝，支付单号：2023030422001185741450857732，金额：823.00；","811.00","12.00","0","823.00","0","823.00","0","买家已付款，等待卖家发货","null","快递","2023-03-04 17:41:48","2023-03-04 17:41:52","Nike耐克Dunk Low 轻便耐磨 低帮运动休闲板鞋 白灰色 DD1503-117","1","","null","'p 765  马小贤  官网转仓库   SF1602677609376【木木 03-06 22:30】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 765  马小贤  官网转仓库   SF1602677609376【木木 03-06 22:30】",=""
="3236545614964750236",="2023030422001111391434867599","支付方式：支付宝，支付单号：2023030422001111391434867599，金额：402.00；","390.00","12.00","0","402.00","0","402.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 17:33:47","2023-03-04 17:33:58","Nike 耐克 Dunk Low 耐磨潮流 复古运动休闲板鞋 白红 DD1391-602，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663223838126","中通快递","'阳 365 Shady【木木 03-06 20:38】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:12:30",="阳 365 Shady【木木 03-06 20:38】",=""
="3236768707985729022",="2023030422001103841404880011","支付方式：支付宝，支付单号：2023030422001103841404880011，金额：472.00；","460.00","12.00","0","472.00","0","472.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 17:13:38","2023-03-04 17:13:51","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663298945861","中通快递","'p 430  摇摆【木木 03-06 01:24】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 17:17:51",="p 430  摇摆【木木 03-06 01:24】",=""
="3236700667862984053",="2023030422001106151430025766","支付方式：支付宝，支付单号：2023030422001106151430025766，金额：194.00；","182.00","12.00","0","194.00","0","194.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 16:46:47","2023-03-04 16:47:53","NIKE SB ZOOM BLAZER MID 男女缓震耐磨潮流运动休闲鞋864349-401，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1500427554570","顺丰速运","'p 163顺  多金体育【木木 03-05 01:15】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 17:05:52",="p 163顺  多金体育【木木 03-05 01:15】",=""
="1836182930362980190",="2023030422001197791456379820","支付方式：支付宝，支付单号：2023030422001197791456379820，金额：652.00；","640.00","12.00","0","652.00","0","652.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 16:44:42","2023-03-04 16:45:57","Air Jordan 1 Mid AJ1 中帮耐磨 运动休闲板鞋 黑曜石 554724-411，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1509870327284","顺丰速运","'C 620 BfWlaaaa","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:19:28",="C 620 BfWlaaaa",=""
="3236671291173557248",="2023030422001151631411547589","支付方式：支付宝，支付单号：2023030422001151631411547589，金额：762.00；","750.00","12.00","0","762.00","0","762.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 16:31:13","2023-03-04 16:33:11","Nike耐克 Dunk Low 复古轻便 低帮休闲运动板鞋 玫瑰粉DD1503-118","1","No:SF1694420618709","顺丰速运","'p 730顺  STRANGER【木木 03-06 01:03】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 17:10:41",="p 730顺  STRANGER【木木 03-06 01:03】",=""
="3235384180818403651",="2023030422001108891409742270","支付方式：支付宝，支付单号：2023030422001108891409742270，金额：0.00；","530.00","12.00","0","542.00","0","0.00","0","交易关闭","null","快递","2023-03-04 15:45:20","2023-03-04 15:45:34","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","","null","","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","542.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="",=""
="1835303916987210690",="2023030422001177921456391606","支付方式：支付宝，支付单号：2023030422001177921456391606，金额：912.00；","900.00","12.00","0","912.00","0","912.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 15:32:50","2023-03-04 15:32:53","Nike 耐克 Dunk Low 耐磨潮流 复古运动休闲板鞋 白红 DD1391-602，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1505655235114","顺丰速运","'J 860 52Hz","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 00:52:06",="J 860 52Hz",=""
="3235329892516754244",="2023030422001121771458990429","支付方式：支付宝，支付单号：2023030422001121771458990429，金额：323.00；","311.00","12.00","0","323.00","0","323.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 15:19:01","2023-03-04 15:19:04","Nike Blazer Low 白黑 轻便舒适 复古潮流 运动休闲鞋 DA4074-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1647517556383","顺丰速运","'C 313 鹿鹿","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 00:18:07",="C 313 鹿鹿",=""
="3235315788887887415",="2023030422001118771453258955","支付方式：支付宝，支付单号：2023030422001118771453258955，金额：543.00；","531.00","12.00","0","543.00","0","543.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 15:16:11","2023-03-04 15:16:22","Air Jordan 1 Mid AJ1休闲运动  潮流休闲复古篮球鞋 554724-135，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1502774020688","顺丰速运","'J 510 小熊猫【扬扬 03-06 01:32】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:56:39",="J 510 小熊猫【扬扬 03-06 01:32】",=""
="3235992437622450039",="2023030422001161551429588771","支付方式：支付宝，支付单号：2023030422001161551429588771，金额：483.00；","471.00","12.00","0","483.00","0","483.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 14:56:56","2023-03-04 14:57:02","Nike 耐克 Dunk Low 耐磨潮流 复古运动休闲板鞋 白红 DD1391-602，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1132785170745","顺丰速运","'阳 440 ＂ 兜兜【木木 03-04 23:02】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 18:21:41",="阳 440 ＂ 兜兜【木木 03-04 23:02】",=""
="3236138814257117240",="2023030422001107731415615476","支付方式：支付宝，支付单号：2023030422001107731415615476，金额：482.00；","470.00","12.00","0","482.00","0","482.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 14:47:51","2023-03-04 14:54:38","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:SF1690908718703","顺丰速运","'C 440 20（努力版）【木木 03-05 01:49】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 16:20:35",="C 440 20（努力版）【木木 03-05 01:49】",=""
="1836014197252479797",="2023030422001109461411101858","支付方式：支付宝，支付单号：2023030422001109461411101858，金额：393.00；","381.00","12.00","0","393.00","0","393.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 14:34:52","2023-03-04 14:35:04","NIKE SB ZOOM BLAZER MID 男女缓震耐磨潮流运动休闲鞋864349-401，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT7084679338248","圆通速递","'C 343 调货大妞【木木 03-05 02:40】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 16:19:26",="C 343 调货大妞【木木 03-05 02:40】",=""
="1836037562255122075",="2023030422001133661452758617","支付方式：支付宝，支付单号：2023030422001133661452758617，金额：563.00；","551.00","12.00","0","563.00","0","563.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 14:24:15","2023-03-04 14:27:41","Air Jordan 1 High AJ1 减震运动休闲实战篮球鞋 黑金 DQ0659-700","1","No:773209733354106","申通快递","'C 525 张有志（刘尔曦版本）【木木 03-05 01:59】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 17:11:49",="C 525 张有志（刘尔曦版本）【木木 03-05 01:59】",=""
="3236079126466424538",="2023030422001198181458860284","支付方式：支付宝，支付单号：2023030422001198181458860284，金额：609.00；","591.00","18.00","0","609.00","0","609.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 14:23:34","2023-03-04 14:23:45","Nike Air Force 1 AF1 白绿 低帮 舒适 休闲复古板鞋  DQ7658-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:73198128301764","中通快递","'Y 580  辰【木木 03-05 20:38】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:42:33",="Y 580  辰【木木 03-05 20:38】",=""
="3235914317547540531",="2023030422001117481408227383","支付方式：支付宝，支付单号：2023030422001117481408227383，金额：483.00；","471.00","12.00","0","483.00","0","483.00","0","卖家已发货，等待买家确认","null","快递","2023-03-04 14:21:20","2023-03-04 14:21:52","Nike Air Force 1 Low 防滑板鞋 低帮运动休闲鞋 米色 DQ7664-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:312201110195365","韵达快递","'p 450 千里留痕zjj【木木 03-05 01:18】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 17:32:52",="p 450 千里留痕zjj【木木 03-05 01:18】",=""
